traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
4556,59,0.94,11,8,29.68,1,7.717,11.917
7107,57,0.88,12,7,29.54,2,2.467,5.95
3612,81,0.42,2,6,29.39,2,9.55,9.117
1667,66,0.73,14,9,29.42,7,4.1,3.283
2782,55,0.58,1,16,29.45,1,3.183,5.917
4500.0,52,0.76,7,10,29.51,5,5.1,4.2
6954,64,0.45,1,16,29.54,2,9.367,11.733
6174,63,0.63,6,20,29.51,1,0.35,0.733
4855,100,0.15,5,8,29.22,2,11.217,1.3
7206,90,0.18,4,10,29.39,2,21.35,12.05
6412,64,0.56,8,16,29.59,1,5.65,2.833
3720.0,52,0.76,7,10,29.51,5,5.1,4.75
2830,59,0.82,14,1,29.39,2,1.6,6.05
6252,59,0.82,1,9,29.71,1,1.983,10.95
7049,61,0.88,4,7,29.65,2,1.967,14.383
2040.0,52,0.76,7,10,29.51,5,5.1,8.4
8866,72,0.5,3,17,29.48,2,7.767,6.167
3434,64,0.94,3,12,29.16,1,3.483,9.1
4215,57,0.82,8,15,29.62,1,3.683,4.067
5373,59,1.0,3,15,29.33,3,2.617,1.983
3953,57,0.77,1,8,29.54,2,4.733,1.867
4230.0,52,0.76,7,10,29.51,5,5.1,8.307
2160.0,52,0.76,7,10,29.51,5,5.1,6.832
8523,61,0.52,6,23,29.3,13,8.217,7.2
4709,63,0.94,4,6,29.24,1,5.05,5.8
5378,59,0.94,7,7,29.59,2,5.75,5.1
4403,63,0.77,1,8,29.45,1,4.75,6.467
3000.0,52,0.76,7,10,29.51,5,5.1,5.0
4019,88,0.19,11,10,29.24,2,5.6,4.983
3965,72,0.46,5,20,29.71,2,6.317,6.517
6960,66,0.46,1,16,29.51,2,11.733,7.117
6594,59,0.88,7,6,29.54,1,3.117,5.517
5702,77,0.36,11,22,29.42,10,8.967,6.0
3470.0,52,0.76,7,10,29.51,5,5.1,14.111
6941,57,0.77,4,17,29.33,7,9.467,1.733
2465,55,0.88,7,7,29.48,1,7.517,6.517
2520.0,52,0.76,7,10,29.51,5,5.1,3.0
4230.0,52,0.76,7,10,29.51,5,5.1,2.333
5955,75,0.61,8,6,29.24,4,4.35,4.083
3693,63,0.77,1,6,29.42,1,6.467,2.933
4301,61,0.59,11,10,29.27,2,11.733,7.567
3902,57,0.55,2,16,29.48,1,4.1,2.55
7879,59,0.59,8,16,29.54,1,2.05,2.45
3922,86,0.19,11,17,29.1,2,7.717,4.083
8979,66,0.68,6,6,29.56,2,3.733,5.833
1020.0,52,0.76,7,10,29.51,5,5.1,7.0
4020.0,52,0.76,7,10,29.51,5,5.1,8.571
769,59,0.82,1,15,29.54,3,0.833,5.333
6814,81,0.32,11,23,29.45,10,6.0,10.317
8167,72,0.43,4,5,29.42,1,3.15,8.85
2520.0,52,0.76,7,10,29.51,5,5.1,3.0
6865,68,0.52,1,13,29.59,4,4.583,4.567
3627,55,0.77,6,8,29.56,1,3.9,8.333
3915,55,0.77,6,6,29.3,2,7.567,5.833
540.0,52,0.76,7,10,29.51,5,5.1,9.111
360.0,52,0.76,7,10,29.51,5,5.1,7.333
5975,77,0.54,3,9,29.3,7,8.467,3.617
3893,54,0.94,7,10,29.56,2,4.183,6.817
8416,77,0.32,2,13,29.62,2,17.65,12.7
3138,61,0.82,4,20,29.27,4,3.5,6.05
6382,64,0.56,1,15,29.56,2,4.367,7.55
1020.0,52,0.76,7,10,29.51,5,5.1,7.0
5405,70,0.6,9,3,29.45,2,10.35,16.283
2196,63,1.0,3,13,29.13,3,8.983,3.483
8107,70,0.53,1,14,29.59,2,15.417,6.383
6263,70,0.49,1,16,29.54,2,2.65,4.55
3775,63,0.82,5,6,29.45,2,4.7,2.6
3234,64,0.94,3,13,29.1,9,7.5,8.983
8681,61,0.59,1,10,29.77,2,8.167,12.417
6381,88,0.25,11,21,29.42,10,13.733,13.733
2690,61,0.94,15,0,29.39,1,4.483,7.117
8695,75,0.34,1,14,29.62,2,12.7,7.683
